date,service,type_document,chemin_fichier
2025-02-03,Fonction publique/Personnel titulaires et stagiaires de la F.P.T.,deliberations,module1-nettoyage/data/classe\deliberations\2025\fonction-publique-personnel-titulaires-et-stagiair\2025-02-03_deliberations_fonction-publique-personnel-titulaires-et-stagiair_dcm-2025-044.csv
2025-02-03,Fonction publique/Personnel contractuel,deliberations,module1-nettoyage/data/classe\deliberations\2025\fonction-publique-personnel-contractuel\2025-02-03_deliberations_fonction-publique-personnel-contractuel_dcm-2025-043.csv
2025-02-03,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2025\finances-locales-subventions\2025-02-03_deliberations_finances-locales-subventions_dcm-2025-008.csv
2025-02-03,Commande Publique/Actes relatifs a la maitrise d oeuvre,deliberations,module1-nettoyage/data/classe\deliberations\2025\commande-publique-actes-relatifs-a-la-maitrise-d-o\2025-02-03_deliberations_commande-publique-actes-relatifs-a-la-maitrise-d-o_dcm-2025-003.csv
2025-02-03,Domaine et patrimoine/Autres actes de gestion du domaine public,deliberations,module1-nettoyage/data/classe\deliberations\2025\domaine-et-patrimoine-autres-actes-de-gestion-du-d\2025-02-03_deliberations_domaine-et-patrimoine-autres-actes-de-gestion-du-d_dcm-2025-021.csv
2025-02-03,Urbanisme/Actes relatifs au droit d occupation ou d utilisation des sols,deliberations,module1-nettoyage/data/classe\deliberations\2025\urbanisme-actes-relatifs-au-droit-d-occupation-ou-\2025-02-03_deliberations_urbanisme-actes-relatifs-au-droit-d-occupation-ou-_dcm-2025-020.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0330.csv
2022-12-05,Domaines de competences par themes/Enseignement,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaines-de-competences-par-themes-enseignement\2022-12-05_deliberations_domaines-de-competences-par-themes-enseignement_dcm-2022-0441.csv
2022-12-05,"Finances locales/Prise de participation (SEM, etc...)",deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-prise-de-participation-sem-etc\2022-12-05_deliberations_finances-locales-prise-de-participation-sem-etc_dcm-2022-0414.csv
2022-12-05,Fonction publique/Personnel contractuel,deliberations,module1-nettoyage/data/classe\deliberations\2022\fonction-publique-personnel-contractuel\2022-12-05_deliberations_fonction-publique-personnel-contractuel_dcm-2022-0419.csv
2022-12-05,Institutions et vie politique/Delegation de fonctions,deliberations,module1-nettoyage/data/classe\deliberations\2022\institutions-et-vie-politique-delegation-de-foncti\2022-12-05_deliberations_institutions-et-vie-politique-delegation-de-foncti_dcm-2022-0411.csv
2022-12-05,Autres domaines de competences/Voeux et motions,deliberations,module1-nettoyage/data/classe\deliberations\2022\autres-domaines-de-competences-voeux-et-motions\2022-12-05_deliberations_autres-domaines-de-competences-voeux-et-motions_dcm-2022-0410.csv
2022-12-05,"Finances locales/Prise de participation (SEM, etc...)",deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-prise-de-participation-sem-etc\2022-12-05_deliberations_finances-locales-prise-de-participation-sem-etc_dcm-2022-0398.csv
2022-12-05,"Finances locales/Prise de participation (SEM, etc...)",deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-prise-de-participation-sem-etc\2022-12-05_deliberations_finances-locales-prise-de-participation-sem-etc_dcm-2022-0396.csv
2022-12-05,Domaines de competences par themes/Environnement,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaines-de-competences-par-themes-environnement\2022-12-05_deliberations_domaines-de-competences-par-themes-environnement_dcm-2022-0395.csv
2022-12-05,Commande Publique/Autres types de contrats,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-autres-types-de-contrats\2022-12-05_deliberations_commande-publique-autres-types-de-contrats_dcm-2022-0386.csv
2022-12-05,Commande Publique/Autres types de contrats,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-autres-types-de-contrats\2022-12-05_deliberations_commande-publique-autres-types-de-contrats_dcm-2022-0384.csv
2022-12-05,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-12-05_deliberations_finances-locales-divers_dcm-2022-0437.csv
2022-12-05,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-12-05_deliberations_finances-locales-divers_dcm-2022-0436.csv
2022-12-05,Autres domaines de competences/Autres domaines de competences des communes,deliberations,module1-nettoyage/data/classe\deliberations\2022\autres-domaines-de-competences-autres-domaines-de-\2022-12-05_deliberations_autres-domaines-de-competences-autres-domaines-de-_dcm-2022-0322.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0433.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0391.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0373.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0369.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0354.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0344.csv
2022-12-05,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-12-05_deliberations_finances-locales-subventions_dcm-2022-0336.csv
2022-10-17,Finances locales/Divers,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-divers\2022-10-17_deliberations_finances-locales-divers_2022-0320.csv
2022-10-17,Institutions et vie politique/Delegation de fonctions,deliberations,module1-nettoyage/data/classe\deliberations\2022\institutions-et-vie-politique-delegation-de-foncti\2022-10-17_deliberations_institutions-et-vie-politique-delegation-de-foncti_2022-0315.csv
2022-10-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-10-17_deliberations_finances-locales-subventions_2022-0314.csv
2022-10-17,Commande Publique/Autres types de contrats,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-autres-types-de-contrats\2022-10-17_deliberations_commande-publique-autres-types-de-contrats_2022-0304.csv
2022-10-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-10-17_deliberations_finances-locales-subventions_2022-0303.csv
2022-10-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-10-17_deliberations_finances-locales-subventions_2022-0300.csv
2022-10-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-10-17_deliberations_finances-locales-subventions_2022-0298.csv
2022-10-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-10-17_deliberations_finances-locales-subventions_2022-0294.csv
2022-10-17,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-10-17_deliberations_finances-locales-subventions_2022-0292.csv
2022-10-17,Domaines de competences par themes/Enseignement,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaines-de-competences-par-themes-enseignement\2022-10-17_deliberations_domaines-de-competences-par-themes-enseignement_2022-0289.csv
2022-10-17,Domaines de competences par themes/Environnement,deliberations,module1-nettoyage/data/classe\deliberations\2022\domaines-de-competences-par-themes-environnement\2022-10-17_deliberations_domaines-de-competences-par-themes-environnement_2022-0288.csv
2022-09-19,Finances locales/Subventions,deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-subventions\2022-09-19_deliberations_finances-locales-subventions_2022-0243.csv
2022-09-19,Commande Publique/Actes relatifs a la maitrise d oeuvre,deliberations,module1-nettoyage/data/classe\deliberations\2022\commande-publique-actes-relatifs-a-la-maitrise-d-o\2022-09-19_deliberations_commande-publique-actes-relatifs-a-la-maitrise-d-o_2022-0242.csv
2022-06-27,"Finances locales/Prise de participation (SEM, etc...)",deliberations,module1-nettoyage/data/classe\deliberations\2022\finances-locales-prise-de-participation-sem-etc\2022-06-27_deliberations_finances-locales-prise-de-participation-sem-etc_2022-0222.csv
