Date;Collectivité;Instance;Numero delib;Titre délib;Rapporteur;ID élu;Elu;FONCTION;Theme déport;DELIB_URL;Observations
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0369;Finances - Subventions de fonctionnement au titre de l'année 2024 - Attribution d'acomptes avant vote du budget;M THEURIER;17230-3728;STEPHAN Arnaud;Conseiller municipal délégué à la Petite enfance;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/528136/44ea8bb641d1ebf6e226f0e6d019c2546ca03f9dd5adddc74765bfddf15be3b4.pdf;Motif personnel
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0399;Interventions Sociales et Santé – Tranquillité publique, prévention de la délinquance – Provision Action Lieu dédié LVFF (Lutte contre les violences faites aux femmes)/Accès au Droit/Aide aux victimes – Troisième attribution de subventions 2023;MME LETOURNEUX;17174-3728;AFFILE Gwendoline;Conseillère déléguée à l'Innovation sociale et à l'Accès aux loisirs;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/529133/ac48ac979c634a44e87fcab8043dfe235a93841db9199ce0dbd959cb3bbdca20.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0405;Famille – Accueil de la petite enfance – Provision Espaces-jeux – Attribution de subvention 2026;Mme Rougier;17174-3728;AFFILE Gwendoline;Conseillère déléguée à l'Innovation sociale et à l'Accès aux loisirs;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/529586/27cd94e331ada7c1734958987176e831d8bc1d4dae699fa8206becdd860c51b2.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0366;Culture – Cinémas et autres salles de spectacle – Salles Le Liberté/ L'Étage/Le MusikHALL - Contrat de concession de service public avec Citédia Services – Troisième avenant - Modification des tarifs et prolongation;M SEMERIL;9773-3728;FAUCHEUX Valérie;14è adjointe déléguée aux Mobilités et aux déplacements;Relations avec les entreprises publiques locales;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/532625/7f5169b35935546f32be0e07d0e9e39fad5b0508cb7011613b7653b4fe89ea6f.pdf;Représentant de  VDR ou RM auprès de l'organisme bénéficiaire
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0427;Aménagement et services urbains, environnement – ZAC Porte de Saint-Malo – Cession de diverses propriétés à la SPLA Territoires Publics;M BROSSARD;9773-3728;FAUCHEUX Valérie;14è adjointe déléguée aux Mobilités et aux déplacements;Relations avec les entreprises publiques locales;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/534635/e0a932006b8df10dfccda8a402bbda9e938f878ba8ca3af870e2b4fe5c64ba84.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0428;Aménagement et services urbains, environnement – ZAC Porte de Saint Malo – Garantie partielle d'emprunt – Approbation;M THEURIER;9773-3728;FAUCHEUX Valérie;14è adjointe déléguée aux Mobilités et aux déplacements;Garantie d'emprunt;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/528189/7ac0772e3c428de5bf135c9752ab17351c38cdeb451caa19fdee924e59970d51.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0425;Aménagement et services urbains, environnement - ZAC Beauregard –  Convention publique d'aménagement avec la société Territoires et Développement – Prolongation de la durée du contrat – Vingtième avenant – Approbation;M Fouillère;7301-3728;HERVE Marc;1er adjoint délégué à l'Urbanisme;Relations avec les entreprises publiques locales;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/534607/ec5dce0b0f08f12e419df47aacb411cf5a89b5db32ca8046503e4d44e0d01063.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0393;Interventions sociales et santé – Soutenir des actions associatives de solidarité et d'insertion – Provision équipement actions sociales – Deuxième attribution de subventions au titre de l'année 2023;M TRAVERS;17231-3728;JEANVRAIN Mathieu;Conseiller municipal délégué au Logement;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/529128/4c2c3eda9bcba151905c0633ea647ffc937cae6427473d81d0b714be55e2fabe.pdf;Motif personnel
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0399;Interventions Sociales et Santé – Tranquillité publique, prévention de la délinquance – Provision Action Lieu dédié LVFF (Lutte contre les violences faites aux femmes)/Accès au Droit/Aide aux victimes – Troisième attribution de subventions 2023;MME LETOURNEUX;7285-3728;NADESAN Yannick;5è adjoint délégué à la Santé;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/529133/ac48ac979c634a44e87fcab8043dfe235a93841db9199ce0dbd959cb3bbdca20.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
2023-12-04;Ville de Rennes;Conseil Municipal;2023_0369;Finances - Subventions de fonctionnement au titre de l'année 2024 - Attribution d'acomptes avant vote du budget;M THEURIER;17196-3728;CAROFF-URFER Sandrine;Conseillère municipale;Versement de subvention à un organisme privé ou public;https://data.megalis.bretagne.bzh/OpenData/213502388/Deliberation/2023/528136/44ea8bb641d1ebf6e226f0e6d019c2546ca03f9dd5adddc74765bfddf15be3b4.pdf;Représentant de  VDR ou RM auprès de l'organisme concerné
